client_id,algorithm,model_id,image_number,signal_gain,image_file,iters,erro_final,converg,tempo_inicio,tempo_final,reconstruction_time
71,CGNR,60x60,6,0.7098,reconstructed_client71_CGNR_img6.png,10,17997.3125,False,2026-05-29T17:48:10.348,2026-05-29T17:48:12.445,2.0970942080002715
72,CGNE,60x60,6,0.6602,reconstructed_client72_CGNE_img6.png,10,577618.9375,False,2026-05-29T17:48:08.167,2026-05-29T17:48:10.037,1.8699049580000064
72,CGNR,60x60,6,0.6602,reconstructed_client72_CGNR_img6.png,10,16739.6796875,False,2026-05-29T17:48:05.753,2026-05-29T17:48:07.803,2.0503727080003955
73,CGNE,30x30,3,0.7814,reconstructed_client73_CGNE_img3.png,10,255878752.0,False,2026-05-29T17:47:46.596,2026-05-29T17:47:46.816,0.22037983400014127
73,CGNR,30x30,3,0.7814,reconstructed_client73_CGNR_img3.png,10,4940426.5,False,2026-05-29T17:47:44.017,2026-05-29T17:47:44.276,0.2590520409999044
74,CGNE,30x30,2,1.0348,reconstructed_client74_CGNE_img2.png,3,8.1494843470864e-05,True,2026-05-29T17:48:01.098,2026-05-29T17:48:01.753,0.6544724589998623
74,CGNR,30x30,2,1.0348,reconstructed_client74_CGNR_img2.png,2,9.263125684810802e-05,True,2026-05-29T17:48:00.155,2026-05-29T17:48:00.401,0.24657974999990984
75,CGNE,30x30,1,0.6192,reconstructed_client75_CGNE_img1.png,1,9.026878979057074e-05,True,2026-05-29T17:47:56.354,2026-05-29T17:47:56.458,0.10350620799999888
75,CGNR,30x30,1,0.6192,reconstructed_client75_CGNR_img1.png,1,8.19122651591897e-05,True,2026-05-29T17:47:57.705,2026-05-29T17:47:57.851,0.1466556249997666
76,CGNE,60x60,6,1.057,reconstructed_client76_CGNE_img6.png,10,924784.625,False,2026-05-29T17:47:57.777,2026-05-29T17:47:59.583,1.8068448340000032
76,CGNR,60x60,6,1.057,reconstructed_client76_CGNR_img6.png,10,26800.728515625,False,2026-05-29T17:47:58.764,2026-05-29T17:48:00.607,1.8437192920000598
77,CGNE,60x60,5,0.9766,reconstructed_client77_CGNE_img5.png,9,9.882332960842177e-05,True,2026-05-29T17:48:01.763,2026-05-29T17:48:03.547,1.7841858330002651
